,DMK 33GX249 10910288,DMK 33GX249 10910273,DMK 33GX249 10910289,DMK 33GX249 10910294,DMK 33GX249 10910291,DMK 33GX249 10910295,DMK 33GX249 10910265,DMK 33GX249 23120778
number,0,1,2,3,4,5,6,7
serial,10910288.0,10910273.0,10910289.0,10910294.0,10910291.0,10910295.0,10910265.0,23120778.0
position,8.0,7.0,6.0,3.0,4.0,5.0,2.0,1.0
fnumber,6.2,6.4,6.4,4.4,6.4,6.4,4.1,6.4
flength,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
cwl,850.0,475.0,550.0,400.0,725.0,650.0,950.0,550.0
fwhm,50.0,25.0,25.0,50.0,50.0,50.0,50.0,25.0
width,1920,1920,1920,1920,1920,1920,1920,1920
height,1200,1200,1200,1200,1200,1200,1200,1200
roix,572,256,272,882,590,248,888,876
roiy,688,696,946,1246,1242,1298,956,656
roiw,24,24,24,24,24,24,24,24
roih,24,24,24,24,24,24,24,24
